Location,Year,Crime,Total cases
Spain,2020,Theft,7942
Spain,2020,Vehicle theft,479
Spain,2020,Drug trafficking,323
Spain,2020,Other criminal offenses,21161
Alicante,2020,consummated murders,18
Alicante,2020,attempted murders,27
Alicante,2020,crimes of injuries ,640
Alicante,2020,Kidnapping,4
Alicante,2020,sexual indemnity,573
Alicante,2020,Sexual assault ,81
Alicante,2020,Other sexual indemnity,492
Alicante,2020,Robbery ,1187
Alicante,2020,Burglaries ,620
Alicante,2020,Robberies with force in homes,5479
Alicante,2020,Theft,16192
Alicante,2020,Vehicle theft,996
Alicante,2020,Drug trafficking,816
Alicante,2020,Other criminal offenses,45607
Cordoba,2020,consummated murders,3
Cordoba,2020,attempted murders,21
Cordoba,2020,crimes of injuries ,210
Cordoba,2020,Kidnapping,4
Cordoba,2020,sexual indemnity,228
Cordoba,2020,Sexual assault ,22
Cordoba,2020,Other sexual indemnity,206
Cordoba,2020,Robbery ,286
Cordoba,2020,Burglaries ,168
Cordoba,2020,Robberies with force in homes,648
Cordoba,2020,Theft,4051
Cordoba,2020,Vehicle theft,208
Cordoba,2020,Drug trafficking,291
Cordoba,2020,Other criminal offenses,15592
Granada,2020,consummated murders,10
Granada,2020,attempted murders,27
Granada,2020,crimes of injuries ,300
Granada,2020,Kidnapping,0
Granada,2020,sexual indemnity,208
Granada,2020,Sexual assault ,25
Granada,2020,Other sexual indemnity,183
Granada,2020,Robbery ,566
Granada,2020,Burglaries ,401
Granada,2020,Robberies with force in homes,1123
Granada,2020,Theft,4867
Granada,2020,Vehicle theft,321
Granada,2020,Drug trafficking,792
Granada,2020,Other criminal offenses,20017
Rioja,2020,consummated murders,5
Rioja,2020,attempted murders,3
Rioja,2020,crimes of injuries ,120
Rioja,2020,Kidnapping,0
Rioja,2020,sexual indemnity,104
Rioja,2020,Sexual assault ,10
Rioja,2020,Other sexual indemnity,94
Rioja,2020,Robbery ,78
Rioja,2020,Burglaries ,440
Rioja,2020,Robberies with force in homes,352
Rioja,2020,Theft,1475
Rioja,2020,Vehicle theft,31
Rioja,2020,Drug trafficking,72
Rioja,2020,Other criminal offenses,5484
Salamanca,2020,consummated murders,2
Salamanca,2020,attempted murders,2
Salamanca,2020,crimes of injuries ,64
Salamanca,2020,Kidnapping,0
Salamanca,2020,sexual indemnity,53
Salamanca,2020,Sexual assault ,9
Salamanca,2020,Other sexual indemnity,44
Salamanca,2020,Robbery ,87
Salamanca,2020,Burglaries ,56
Salamanca,2020,Robberies with force in homes,221
Salamanca,2020,Theft,1826
Salamanca,2020,Vehicle theft,49
Salamanca,2020,Drug trafficking,78
Salamanca,2020,Other criminal offenses,6029
Segovia,2020,consummated murders,8
Segovia,2020,attempted murders,18
Segovia,2020,crimes of injuries ,426
Segovia,2020,Kidnapping,2
Segovia,2020,sexual indemnity,315
Segovia,2020,Sexual assault ,42
Segovia,2020,Other sexual indemnity,273
Segovia,2020,Robbery ,495
Segovia,2020,Burglaries ,185
Segovia,2020,Robberies with force in homes,1208
Segovia,2020,Theft,7771
Segovia,2020,Vehicle theft,475
Segovia,2020,Drug trafficking,256
Segovia,2020,Other criminal offenses,24015
Ceuta,2020,consummated murders,2
Ceuta,2020,attempted murders,5
Ceuta,2020,crimes of injuries ,74
Ceuta,2020,Kidnapping,0
Ceuta,2020,sexual indemnity,37
Ceuta,2020,Sexual assault ,2
Ceuta,2020,Other sexual indemnity,35
Ceuta,2020,Robbery ,128
Ceuta,2020,Burglaries ,59
Ceuta,2020,Robberies with force in homes,37
Ceuta,2020,Theft,471
Ceuta,2020,Vehicle theft,84
Ceuta,2020,Drug trafficking,220
Ceuta,2020,Other criminal offenses,2558
Melilla,2020,consummated murders,0
Melilla,2020,attempted murders,2
Melilla,2020,crimes of injuries ,157
Melilla,2020,Kidnapping,0
Melilla,2020,sexual indemnity,34
Melilla,2020,Sexual assault ,4
Melilla,2020,Other sexual indemnity,30
Melilla,2020,Robbery ,300
Melilla,2020,Burglaries ,65
Melilla,2020,Robberies with force in homes,44
Melilla,2020,Theft,778
Melilla,2020,Vehicle theft,42
Melilla,2020,Drug trafficking,232
Melilla,2020,Other criminal offenses,2857
Barcelona,2021,consummated murders,36
Barcelona,2021,attempted murders,137
Barcelona,2021,crimes of injuries ,2161
Barcelona,2021,Kidnapping,8
Barcelona,2021,sexual indemnity,2406
Barcelona,2021,Sexual assault ,436
Barcelona,2021,Other sexual indemnity,1970
Barcelona,2021,Robbery ,18360
Barcelona,2021,Burglaries ,16743
Barcelona,2021,Robberies with force in homes,10697
Barcelona,2021,Theft,97043
Barcelona,2021,Vehicle theft,5074
Barcelona,2021,Drug trafficking,2833
Barcelona,2021,Other criminal offenses,152565
Madrid,2021,consummated murders,37
Madrid,2021,attempted murders,94
Madrid,2021,crimes of injuries ,2717
Madrid,2021,Kidnapping,13
Madrid,2021,sexual indemnity,2420
Madrid,2021,Sexual assault ,274
Madrid,2021,Other sexual indemnity,2146
Madrid,2021,Robbery ,12153
Madrid,2021,Burglaries ,12262
Madrid,2021,Robberies with force in homes,8243
Madrid,2021,Theft,108778
Madrid,2021,Vehicle theft,6922
Madrid,2021,Drug trafficking,2502
Madrid,2021,Other criminal offenses,197970
Valencia,2021,consummated murders,22
Valencia,2021,attempted murders,65
Valencia,2021,crimes of injuries ,1241
Valencia,2021,Kidnapping,2
Valencia,2021,sexual indemnity,1081
Valencia,2021,Sexual assault ,124
Valencia,2021,Other sexual indemnity,957
Valencia,2021,Robbery ,3063
Valencia,2021,Burglaries ,7018
Valencia,2021,Robberies with force in homes,6054
Valencia,2021,Theft,34443
Valencia,2021,Vehicle theft,1338
Valencia,2021,Drug trafficking,904
Valencia,2021,Other criminal offenses,74380
Murcia,2021,consummated murders,14
Murcia,2021,attempted murders,46
Murcia,2021,crimes of injuries ,863
Murcia,2021,Kidnapping,3
Murcia,2021,sexual indemnity,613
Murcia,2021,Sexual assault ,61
Murcia,2021,Other sexual indemnity,552
Murcia,2021,Robbery ,1375
Murcia,2021,Burglaries ,4701
Murcia,2021,Robberies with force in homes,3793
Murcia,2021,Theft,11925
Murcia,2021,Vehicle theft,666
Murcia,2021,Drug trafficking,506
Murcia,2021,Other criminal offenses,37088
Seville,2021,consummated murders,8
Seville,2021,attempted murders,57
Seville,2021,crimes of injuries ,691
Seville,2021,Kidnapping,5
Seville,2021,sexual indemnity,600
Seville,2021,Sexual assault ,38
Seville,2021,Other sexual indemnity,562
Seville,2021,Robbery ,1937
Seville,2021,Burglaries ,4697
Seville,2021,Robberies with force in homes,2565
Seville,2021,Theft,18880
Seville,2021,Vehicle theft,1309
Seville,2021,Drug trafficking,642
Seville,2021,Other criminal offenses,48461
Zaragoza,2021,consummated murders,4
Zaragoza,2021,attempted murders,8
Zaragoza,2021,crimes of injuries ,376
Zaragoza,2021,Kidnapping,2
Zaragoza,2021,sexual indemnity,326
Zaragoza,2021,Sexual assault ,41
Zaragoza,2021,Other sexual indemnity,285
Zaragoza,2021,Robbery ,912
Zaragoza,2021,Burglaries ,1563
Zaragoza,2021,Robberies with force in homes,1044
Zaragoza,2021,Theft,7663
Zaragoza,2021,Vehicle theft,199
Zaragoza,2021,Drug trafficking,327
Zaragoza,2021,Other criminal offenses,21316
Malaga,2021,consummated murders,15
Malaga,2021,attempted murders,48
Malaga,2021,crimes of injuries ,913
Malaga,2021,Kidnapping,13
Malaga,2021,sexual indemnity,577
Malaga,2021,Sexual assault ,49
Malaga,2021,Other sexual indemnity,528
Malaga,2021,Robbery ,1388
Malaga,2021,Burglaries ,4154
Malaga,2021,Robberies with force in homes,2933
Malaga,2021,Theft,18720
Malaga,2021,Vehicle theft,1493
Malaga,2021,Drug trafficking,1078
Malaga,2021,Other criminal offenses,47803
Spain,2021,consummated murders,5
Spain,2021,attempted murders,19
Spain,2021,crimes of injuries ,382
Spain,2021,Kidnapping,2
Spain,2021,sexual indemnity,321
Spain,2021,Sexual assault ,40
Spain,2021,Other sexual indemnity,281
Spain,2021,Robbery ,1001
Spain,2021,Burglaries ,2002
Spain,2021,Robberies with force in homes,1425
Spain,2021,Theft,9311
Spain,2021,Vehicle theft,498
Spain,2021,Drug trafficking,346
Spain,2021,Other criminal offenses,23066
Alicante,2021,consummated murders,10
Alicante,2021,attempted murders,48
Alicante,2021,crimes of injuries ,878
Alicante,2021,Kidnapping,4
Alicante,2021,sexual indemnity,838
Alicante,2021,Sexual assault ,99
Alicante,2021,Other sexual indemnity,739
Alicante,2021,Robbery ,1212
Alicante,2021,Burglaries ,6672
Alicante,2021,Robberies with force in homes,5282
Alicante,2021,Theft,18481
Alicante,2021,Vehicle theft,969
Alicante,2021,Drug trafficking,935
Alicante,2021,Other criminal offenses,49211
Cordoba,2021,consummated murders,1
Cordoba,2021,attempted murders,16
Cordoba,2021,crimes of injuries ,247
Cordoba,2021,Kidnapping,0
Cordoba,2021,sexual indemnity,213
Cordoba,2021,Sexual assault ,24
Cordoba,2021,Other sexual indemnity,189
Cordoba,2021,Robbery ,273
Cordoba,2021,Burglaries ,1044
Cordoba,2021,Robberies with force in homes,736
Cordoba,2021,Theft,4505
Cordoba,2021,Vehicle theft,183
Cordoba,2021,Drug trafficking,184
Cordoba,2021,Other criminal offenses,16675
Granada,2021,consummated murders,8
Granada,2021,attempted murders,20
Granada,2021,crimes of injuries ,343
Granada,2021,Kidnapping,1
Granada,2021,sexual indemnity,268
Granada,2021,Sexual assault ,43
Granada,2021,Other sexual indemnity,225
Granada,2021,Robbery ,611
Granada,2021,Burglaries ,1732
Granada,2021,Robberies with force in homes,1178
Granada,2021,Theft,5998
Granada,2021,Vehicle theft,270
Granada,2021,Drug trafficking,1007
Granada,2021,Other criminal offenses,21570
Rioja,2021,consummated murders,3
Rioja,2021,attempted murders,5
Rioja,2021,crimes of injuries ,161
Rioja,2021,Kidnapping,0
Rioja,2021,sexual indemnity,102
Rioja,2021,Sexual assault ,9
Rioja,2021,Other sexual indemnity,93
Rioja,2021,Robbery ,116
Rioja,2021,Burglaries ,455
Rioja,2021,Robberies with force in homes,397
Rioja,2021,Theft,1789
Rioja,2021,Vehicle theft,59
Rioja,2021,Drug trafficking,75
Rioja,2021,Other criminal offenses,6309
Salamanca,2021,consummated murders,1
Salamanca,2021,attempted murders,4
Salamanca,2021,crimes of injuries ,80
Salamanca,2021,Kidnapping,0
Salamanca,2021,sexual indemnity,78
Salamanca,2021,Sexual assault ,11
Salamanca,2021,Other sexual indemnity,67
Salamanca,2021,Robbery ,83
Salamanca,2021,Burglaries ,330
Salamanca,2021,Robberies with force in homes,265
Salamanca,2021,Theft,2303
Salamanca,2021,Vehicle theft,60
Salamanca,2021,Drug trafficking,61
Salamanca,2021,Other criminal offenses,6600
Segovia,2021,consummated murders,6
Segovia,2021,attempted murders,13
Segovia,2021,crimes of injuries ,513
Segovia,2021,Kidnapping,0
Segovia,2021,sexual indemnity,390
Segovia,2021,Sexual assault ,39
Segovia,2021,Other sexual indemnity,351
Segovia,2021,Robbery ,520
Segovia,2021,Burglaries ,1708
Segovia,2021,Robberies with force in homes,1261
Segovia,2021,Theft,7727
Segovia,2021,Vehicle theft,414
Segovia,2021,Drug trafficking,198
Segovia,2021,Other criminal offenses,23381
Ceuta,2021,consummated murders,2
Ceuta,2021,attempted murders,10
Ceuta,2021,crimes of injuries ,73
Ceuta,2021,Kidnapping,3
Ceuta,2021,sexual indemnity,47
Ceuta,2021,Sexual assault ,4
Ceuta,2021,Other sexual indemnity,43
Ceuta,2021,Robbery ,195
Ceuta,2021,Burglaries ,69
Ceuta,2021,Robberies with force in homes,31
Ceuta,2021,Theft,434
Ceuta,2021,Vehicle theft,103
Ceuta,2021,Drug trafficking,205
Ceuta,2021,Other criminal offenses,2785
Melilla,2021,consummated murders,0
Melilla,2021,attempted murders,4
Melilla,2021,crimes of injuries ,119
Melilla,2021,Kidnapping,0
Melilla,2021,sexual indemnity,39
Melilla,2021,Sexual assault ,2
Melilla,2021,Other sexual indemnity,37
Melilla,2021,Robbery ,201
Melilla,2021,Burglaries ,68
Melilla,2021,Robberies with force in homes,55
Melilla,2021,Theft,576
Melilla,2021,Vehicle theft,35
Melilla,2021,Drug trafficking,230
Melilla,2021,Other criminal offenses,2842
